name,address,website,phone_number,reviews_count,reviews_average,store_shopping,in_store_pickup,store_delivery,place_type,opens_at,introduction,search_city
"El Chido: Resturante, Taquiera y Tienda Mexicana","1410 S Memorial Dr, Prattville, AL 36067, United States",,+1 334-730-1558,179,4.4,No,No,Yes,Mexican restaurant, · Closes 9PM,None Found,Prattville
Famous Nate's Food Truck,"3211 Martin Luther King Jr Pkwy S unit F, Phenix City, AL 36869, United States",facebook.com,+1 334-357-6283,46,4.9,No,No,Yes,Mobile caterer, · Opens 2PM Sat,None Found,Phenix City
KALANI’S HAWAIIAN STYLE CAFE,"711 13th St, Phenix City, AL 36867, United States",,+1 808-365-2387,284,4.8,No,No,Yes,Hawaiian restaurant, · Closes 8PM,None Found,Phenix City
TacoMex,"414 Martin Luther King Jr Pkwy S, Phenix City, AL 36869, United States",,+1 706-587-6346,59,4.4,No,No,Yes,Mexican restaurant, · Closes 7PM,None Found,Phenix City
Grand’s Philly Phreeze,"11 Worcester Ct, Phenix City, AL 36870, United States",,+1 215-764-2839,14,5.0,No,No,Yes,Ice cream shop,,None Found,Phenix City
BamaQue Food Truck,"Phenix City, AL 36867, United States",usabrandly.top,+1 706-885-7197,1,5.0,No,No,No,Restaurant,,None Found,Phenix City
BamaQue Food Truck,"Phenix City, AL 36867, United States",usabrandly.top,,1,1.0,No,No,No,,,None Found,Phenix City
Phenix City Food Truck Park,"1328 Whitewater Ave, Phenix City, AL 36867, United States",vegotaco.com,+1 762-207-3924,21,4.6,No,No,No,Mobile caterer,,None Found,Phenix City
Cafe Fresca Hawaiian Fusion Grill,"206 Western Bypass, Andalusia, AL 36420, United States",cafefresca.net,+1 334-658-7010,15,4.9,No,No,Yes,Hawaiian restaurant, · Closes 7PM,None Found,Andalusia
MI JALISCO ANDALUSIA,"300 Westgate Plaza, Andalusia, AL 36420, United States",mijaliscobargrillga.com,+1 334-923-1712,125,4.6,No,No,Yes,Mexican restaurant, · Closes 10PM,None Found,Andalusia
Bluebird Coffee Co.,"200 S 3 Notch St, Andalusia, AL 36420, United States",bluebirdandalusia.com,+1 334-923-1698,250,4.8,No,Yes,Yes,Coffee shop,Open · Closes 6PM,None Found,Andalusia
"Construction Sales & Service, Inc.","1545 Stanley Ave, Andalusia, AL 36420, United States",csstractors.com,+1 334-923-4500,10,4.9,No,No,Yes,Tractor dealer, · Closes 5PM,None Found,Andalusia
Conecuh Sausage,"181 Progress Drive, Andalusia, AL 36421, United States",conecuhsausage.com,+1 251-578-3380,10,4.4,No,No,No,Food manufacturer, · Closes 4PM,None Found,Andalusia
The B Pub,"239 Church St, Andalusia, AL 36420, United States",thebpub.com,+1 334-923-1687,55,5.0,No,No,Yes,Pub, · Opens 4PM,None Found,Andalusia
Zaxbys Chicken Fingers & Buffalo Wings,"1000 River Falls St, Andalusia, AL 36420, United States",zaxbys.com,+1 334-582-8484,875,4.2,No,No,Yes,Chicken restaurant,Open · Closes 11PM,"Chain eatery serving up fried chicken fingers, wings, sandwiches & other American comfort food.",Andalusia
Sunsouth LLC,"16607 US-84, Andalusia, AL 36421, United States",sunsouth.com,+1 334-222-3294,67,4.4,Yes,Yes,Yes,Tractor dealer, · Closes 5PM,None Found,Andalusia
Inland,"11183 US-84, Andalusia, AL 36421, United States",swgaoil.com,+1 334-222-3034,192,4.3,No,No,No,Gas station, · Closes 11PM,None Found,Andalusia
James Gang Amusements LLC,"17356 James Gang Ln, Andalusia, AL 36420, United States",jamesgangamusement.com,+1 334-208-2357,16,4.1,No,No,No,Association / Organization,,None Found,Andalusia
Marty's Stew Shack,"4728 AL-207, Anderson, AL 35610, United States",,+1 256-247-7988,403,4.7,No,No,Yes,Restaurant, · Closes 9PM,None Found,Anderson
Marty's Stew Shack,"4728 AL-207, Anderson, AL 35610, United States",thafoodtruck.com,+1 256-721-2221,10,3.4,No,No,No,Mobile caterer,,None Found,Anderson
Chubbfathers,"229 Kent Stone Blvd, Alabaster, AL 35007, United States",thechubbfather.com,+1 205-685-0950,1737,4.7,No,Yes,Yes,Restaurant, · Closes 9PM,None Found,Alabaster
Nawlins Style Po’Boys,"1207 1st St N, Alabaster, AL 35007, United States",,+1 205-358-8105,140,4.6,No,Yes,Yes,Cajun restaurant,,None Found,Alabaster
Taqueria Ortega,"151 Industrial Rd, Alabaster, AL 35007, United States",,,14,4.7,No,No,No,Mexican restaurant,,None Found,Alabaster
Brother Paul's BBQ & Catering,"200 1st St S, Alabaster, AL 35007, United States",brotherpaulsbbq.org,+1 205-500-1067,114,4.8,No,No,Yes,Restaurant, · Closes 7PM,None Found,Alabaster
Momo's Cajun Eatz,"7850 US-31, Calera, AL 35040, United States",momoscajuneatz.com,+1 205-598-1008,82,4.8,No,Yes,Yes,Cajun restaurant, · Opens 11AM Sun,None Found,Alabaster
Taqueria El Gavilán,"6442 US-31, Calera, AL 35040, United States",mobile-webview2.com,+1 205-728-7786,58,4.5,No,No,Yes,Mexican restaurant, · Closes 10PM,None Found,Alabaster
Jess Southern BBQ,"8195 McClellan Blvd, Anniston, AL 36206, United States",,+1 256-689-7316,130,4.5,No,No,Yes,Barbecue restaurant, · Closes 5PM,None Found,Anniston
Kona Ice of Calhoun County,,kona-ice.com,+1 256-399-9284,75,5.0,No,No,No,Mobile caterer, · Closes 5PM,None Found,Anniston
El Huarache Loco,"1521 Greenbrier Dear Rd suite 2, Anniston, AL 36207, United States",facebook.com,+1 256-848-7034,368,5.0,No,No,Yes,Mexican restaurant, · Closes 10PM,None Found,Anniston
Los Reyes Food Truck,"1206 Alabama Ave, Gadsden, AL 35901, United States",,+1 256-570-7624,1,5.0,No,No,No,Food producer, · Closes 11PM,None Found,Gadsden
T.j.s Crawfish Shack,"303 W Grand Ave, Rainbow City, AL 35906, United States",,+1 256-553-3674,43,4.6,No,No,Yes,Restaurant, · Closes 8PM,None Found,Gadsden
Top O' the River,"1606 Rainbow Dr, Gadsden, AL 35901, United States",topotheriverrestaurant.com,+1 256-547-9817,4966,4.5,No,Yes,Yes,Seafood restaurant, · Opens 5PM,"Longtime, family-owned restaurant serving its signature catfish & other seafood in a casual setting.",Gadsden
TA Truck Service,"1724 W Grand Ave, Gadsden, AL 35904, United States",ta-petro.com,+1 256-442-0955,337,4.0,No,No,No,Truck repair shop,,"Truck-stop chain offering diesel, unleaded & alternative fuel, plus food & gifts.",Gadsden
Daily Grace Food Truck LLC,"1330 McCoy St, Opelika, AL 36801, United States",,+1 334-759-9261,1,5.0,No,No,No,Mobile caterer,,None Found,Opelika
Butcher Paper BBQ,"128 Columbus Pkwy, Opelika, AL 36801, United States",butcherpaperbbq.com,+1 334-748-9008,911,4.5,No,Yes,Yes,Barbecue restaurant,Open · Closes 8PM,None Found,Opelika
Hoagie Express - Food Truck,"131 E Veterans Blvd, Auburn, AL 36832, United States",facebook.com,+1 334-559-2947,1,5.0,No,No,No,Mobile caterer,,None Found,Opelika
Chef Leese's Chew and Flow,"1300 McCoy St, Opelika, AL 36801, United States",facebook.com,+1 762-241-9005,4,5.0,No,No,Yes,Restaurant, · Opens 7PM,None Found,Opelika
Tacos el toro,"215 2nd Ave, Opelika, AL 36801, United States",,,6,4.5,No,No,No,Buffet restaurant,,None Found,Opelika
TACO MICH,"1919 E Park Ave, Enterprise, AL 36330, United States",masotacomich.com,+1 334-347-1650,827,4.7,No,No,Yes,Mexican restaurant, · Closes 9PM,None Found,Enterprise
Chuck Wagon Enterprise Food Truck,"Boll Weevil Cir, Enterprise, AL 36330, United States",chuckwagonenterprise.square.site,+1 334-330-0125,1,5.0,No,Yes,Yes,Restaurant,,None Found,Enterprise
The Cookhouse Mobile Food Venue,"41 S Main St, Arab, AL 35016, United States",,,2.0,5.0,No,No,No,Mobile caterer,,None Found,Arab
L’ Rancho,"41 N Main St, Arab, AL 35016, United States",,+1 256-640-8610,210.0,4.6,No,No,Yes,American restaurant, · Closes 2:30PM · Reopens 5PM,None Found,Arab
Truckie Cheese Food Truck,,truckiecheese.com,,,,No,No,No,Mobile caterer,,None Found,Arab
Huddle House,"759 N Brindlee Mountain Pkwy, Arab, AL 35016, United States",huddlehouse.com,+1 256-931-2073,1124.0,4.2,No,No,Yes,American restaurant, · Closes 12AM,None Found,Arab
TriGreen Equipment,"933 N Brindlee Mountain Pkwy, Arab, AL 35016, United States",trigreenequipment.com,+1 256-586-8304,126.0,4.5,No,Yes,Yes,Tractor dealer, · Closes 5PM,None Found,Arab
Arab Historic Village,"844 Shoal Creek Trail NE, Arab, AL 35016, United States",arabcity.org,+1 256-586-3866,32.0,4.7,No,No,No,Museum, · Closes 3PM,None Found,Arab
TACO TRUCK EL BIG BURRITO,"1900 19th St N, Bessemer, AL 35020, United States",,+1 205-953-7572,74,4.4,No,No,Yes,Mexican restaurant, · Closes 7PM,None Found,Bessemer
Dos Hermanos (Taco Truck),"604 9th Ave SW, Bessemer, AL 35022, United States",facebook.com,,93,4.8,No,No,Yes,Restaurant, · Opens 8:30AM Sat,None Found,Bessemer
Not Ya Average Leaf Food Truck (Check social media for daily locations),"830 22nd St N, Bessemer, AL 35020, United States",,+1 205-317-8068,18,4.6,No,Yes,Yes,Vegan restaurant,,None Found,Bessemer
Corry's Food Truck,"2730 Allison-Bonnett Memorial Dr, Bessemer, AL 35023, United States",facebook.com,+1 205-370-4038,4,5.0,No,No,No,American restaurant,,None Found,Bessemer
Hilltop Farms & Market,"1028 US-11, Trussville, AL 35173, United States",hilltopfarmsargo.com,+1 205-452-2563,102.0,4.6,No,No,Yes,Cafe, · Closes 5PM,None Found,Argo
Jack's Family Restaurant,"11 Argo Pkwy, Trussville, AL 35173, United States",locations.eatatjacks.com,+1 205-719-0744,1425.0,3.8,No,No,Yes,Fast food restaurant, · Closes 11PM,"Fast-food chain serving standard American eats such as burgers, fries & milkshakes.",Argo
SeaZon - A Taste Throughout All Times,"45 Hunter Dr, Trussville, AL 35173, United States",nmyseazon.com,+1 205-677-3290,,,No,No,No,Mobile caterer, · Closes 5PM,None Found,Argo
The Fiery Fowl Food Truck,,thefieryfowl.com,+1 334-704-5031,53.0,4.6,No,No,No,Mobile caterer,Closed · Opens 12PM Sat,None Found,Argo
Arley Coffee Shop,"6670 Co Rd 41, Arley, AL 35541, United States",,+1 205-387-2472,530,4.6,No,No,Yes,Diner, · Closes 8PM,None Found,Arley
Son's of Arley,"6710 Co Rd 41, Arley, AL 35541, United States",,+1 205-221-9315,219,4.4,No,No,No,Grocery store, · Closes 9PM,None Found,Arley
TJS Crawfish Shack Northport,,,+1 205-534-1621,13,5.0,No,No,No,Food producer, · Closes 7PM,None Found,Northport
Depot dogs & Ice-cream,"424 N Broadway St, Ashford, AL 36312, United States",,+1 334-899-4045,12,4.8,No,Yes,No,Diner, · Closes 8PM,None Found,Ashford
Broadway Cafe,"429 N Broadway St, Ashford, AL 36312, United States",facebook.com,+1 334-899-8711,293,4.8,No,No,Yes,American restaurant, · Closes 2PM,None Found,Ashford
Following Seas Brewpub,"408 N Broadway St, Ashford, AL 36312, United States",,,16,4.9,No,No,Yes,Brewery, · Opens 3PM,None Found,Ashford
Taquería Valencia,"608 Springville Rd, Birmingham, AL 35215, United States",facebook.com,+1 205-962-8540,59,4.7,No,No,Yes,Restaurant, · Closes 10:30PM,None Found,Trussville
Blacktop Bistro,"9105 AL-23, Ashville, AL 35953, United States",blacktopbistro.online,+1 205-762-8088,12,4.3,No,No,Yes,Restaurant, · Closes 2PM,None Found,Ashville
"Shaw's Bar-BQ, Inc.","38022 US-231, Ashville, AL 35953, United States",facebook.com,+1 205-594-7801,297,4.6,No,No,Yes,Barbecue restaurant, · Closes 7PM,None Found,Ashville
Interstate 59 North Rest Area,"Ashville, AL 35953, United States",,,1344,4.5,No,No,No,Rest stop,,None Found,Ashville
Ramona J’s,"1212 US-31, Athens, AL 35611, United States",ramonajs.com,+1 256-444-4005,341,4.7,No,No,Yes,Restaurant, · Closes 8PM,None Found,Athens
"Soul on Wheels Catering, Delivery and Food Truck","22923 US-72, Athens, AL 35613, United States",,+1 256-682-7616,26,4.2,No,No,No,Mobile caterer,Open · Closes 7PM,None Found,Athens
Indians Retreat (Food Truck Court),"15800 E Limestone Rd, Athens, AL 35613, United States",facebook.com,+1 256-559-6060,6,5.0,No,No,Yes,Food court,,None Found,Athens
El Yaqui Mexican Food & Desserts LLC,"11330 US-72, Athens, AL 35611, United States",elyaquilv.com,+1 938-256-6899,7,4.4,No,No,Yes,Mexican restaurant, · Opens 5PM,None Found,Athens
Lucia's Cocina Mexicana,"208 Market St W, Athens, AL 35611, United States",casablancalucia.com,+1 256-998-5451,883,4.6,No,Yes,Yes,Mexican restaurant, · Closes 10PM,None Found,Athens
Tin-tin's Rock and Roll foodtruck,"750 Morphy Ave, Fairhope, AL 36532, United States",,+1 251-228-6305,143.0,4.9,No,No,No,Mobile caterer, · Opens 11AM Tue,None Found,Daphne
AteUp! Wok on Wheels,,linktr.ee,+1 251-300-9458,28.0,5.0,No,No,No,Caterer,,None Found,Daphne
Manci's Antique Club,"1715 Main St, Daphne, AL 36526, United States",mancisantiqueclub.com,+1 251-375-0543,775.0,4.6,No,Yes,Yes,Bar & grill, · Closes 10PM,Offbeat option with a bar & outdoor seating for po'boys & other Southern-style sandwiches.,Daphne
Blue Island Cafe (Island Ice) Food Truck,,facebook.com,,,,No,No,No,Mobile caterer, · Closes 5PM,None Found,Daphne
Ramona J’s,"1212 US-31, Athens, AL 35611, United States",ramonajs.com,+1 256-444-4005,341,4.7,No,No,Yes,Restaurant, · Closes 8PM,None Found,Athens
Indians Retreat (Food Truck Court),"15800 E Limestone Rd, Athens, AL 35613, United States",facebook.com,+1 256-559-6060,6,5.0,No,No,Yes,Food court,,None Found,Athens
Happi Pappi Beignets,,happipappi.com,+1 256-777-0900,61,4.5,No,No,No,Food products supplier, · Closes 12AM,None Found,Athens
Athens Farmers Market,"409 W Green St, Athens, AL 35611, United States",athensmainstreet.org,,75,4.7,No,No,No,Market, · Opens 8AM Sat,None Found,Athens
Las Trojas Cantina,"22051 US-72, Athens, AL 35613, United States",lastrojas.com,+1 256-230-6224,1412,4.2,No,No,Yes,Mexican restaurant, · Closes 11PM,None Found,Athens
Mike’s Cafe,"20982 Tillman Mill Rd, Elkmont, AL 35620, United States",,+1 256-444-1979,161,4.8,No,No,Yes,Restaurant, · Closes 6:30PM,None Found,Athens
El Taco Truck,"3308 Pelham Pkwy, Pelham, AL 35124, United States",ordereltacotruckpelham.com,+1 775-636-3199,2,2.0,No,No,Yes,Mexican restaurant, · Opens 5PM,None Found,Pelham
Send Noodz LLC,"1982 US Hwy 78 E, Oxford, AL 36203, United States",sendnoodzoxfordal.com,+1 256-225-0542,28,5.0,No,No,No,Restaurant, · Closes 5PM,None Found,Oxford
Struts of Oxford,"88 Ali Wy, Oxford, AL 36203, United States",strutswings.com,+1 256-835-8102,1110,4.1,No,Yes,Yes,American restaurant,Open · Closes 10PM,None Found,Oxford
Jack's Family Restaurant,"4984 US-78, Oxford, AL 36203, United States",locations.eatatjacks.com,+1 256-832-0006,1674,4.2,No,No,Yes,Fast food restaurant, · Closes 11PM,"Fast-food chain serving standard American eats such as burgers, fries & milkshakes.",Oxford
Nett's Kitchen,"1310 E Nashville Ave, Atmore, AL 36502, United States",,+1 251-321-0317,332,4.6,No,No,Yes,American restaurant, · Closes 9PM,None Found,Atmore
Anchor Cafe,"201 Ashley St, Atmore, AL 36502, United States",,+1 251-250-5775,313,4.4,No,No,Yes,Restaurant, · Closes 2PM,None Found,Atmore
Tractor Supply Co.,"161 Lindberg Ave, Atmore, AL 36502, United States",tractorsupply.com,+1 251-368-0090,67,4.6,Yes,Yes,Yes,Animal feed store, · Closes 9PM,"Chain with a wide variety of agricultural & livestock supplies, plus tools, workwear & boots.",Atmore
Southern Soul Food Truck,"13765 Co Rd 32, Summerdale, AL 36580, United States",,+1 251-321-5650,2,5.0,No,No,No,Caterer,,None Found,Atmore
Lena's Rolling Kitchen,,lenas-rolling-kitchen.square.site,+1 256-388-9131,8,5.0,No,No,No,Mobile caterer,,None Found,Albertville
Chico's Taqueria,"203 W McKinney Ave suite b, Albertville, AL 35950, United States",,+1 256-660-1061,202,4.6,No,No,Yes,Taco restaurant, · Closes 10PM,None Found,Albertville
Jess Southern BBQ,"8195 McClellan Blvd, Anniston, AL 36206, United States",,+1 256-689-7316,130,4.5,No,No,Yes,Barbecue restaurant, · Closes 5PM,None Found,Anniston
Jess Southern BBQ,"8195 McClellan Blvd, Anniston, AL 36206, United States",,+1 256-225-0542,28,5.0,No,No,No,Restaurant, · Closes 5PM,None Found,Anniston
Kona Ice of Calhoun County,,kona-ice.com,+1 256-399-9284,75,5.0,No,No,No,Mobile caterer, · Closes 5PM,None Found,Anniston
Sinclair Social,"33 W 10th St, Anniston, AL 36201, United States",thesinclairsocial.com,,50,4.8,No,No,No,Event venue,Closed · Opens 4PM,None Found,Anniston
Shipyard Café,"101 Telegraph Rd, Chickasaw, AL 36611, United States",shipyardcafe.com,+1 251-457-0066,516,4.5,No,Yes,Yes,Restaurant,Open · Closes 10PM,None Found,Prichard
Hector's Kitchen,"701 Gilbert Ferry Rd SE, Attalla, AL 35954, United States",hectorskitchenattalla.com,+1 256-538-7783,806,4.8,No,No,Yes,Colombian restaurant, · Closes 8PM,None Found,Attalla
Lineage,"209 Industrial Dr, Attalla, AL 35954, United States",onelineage.com,+1 256-538-2653,211,3.5,No,No,No,Cold storage facility, · Closes 5PM,None Found,Attalla
TA Truck Service,"1724 W Grand Ave, Gadsden, AL 35904, United States",ta-petro.com,+1 256-442-0955,337,4.0,No,No,No,Truck repair shop,,"Truck-stop chain offering diesel, unleaded & alternative fuel, plus food & gifts.",Attalla
Dean's Sausage Company,"3960 Pleasant Valley Rd, Attalla, AL 35954, United States",deansausage.com,+1 256-538-6082,57,3.9,No,No,No,Meat products store, · Closes 4PM,None Found,Attalla
Los Compadres,"1834 2nd Ave NW, Cullman, AL 35055, United States",,,39,4.9,No,No,Yes,Restaurant, · Closes 8PM,None Found,Cullman
"Frios Gourmet Pops - Cullman Ice Cream Shop, Truck & Catering","113 1st Ave NE, Cullman, AL 35055, United States",friospops.com,+1 256-339-4946,87,4.9,No,No,Yes,Dessert shop,,None Found,Cullman
TACOMARG,"105 1st Ave NE suite b, Cullman, AL 35055, United States",tacomarg.com,+1 256-735-4035,335,4.7,No,No,Yes,Mexican restaurant,Open · Closes 10PM,None Found,Cullman
El Mezcal Mexican Grill,"1629 Town Square S W, Cullman, AL 35055, United States",,+1 256-747-5718,297,4.4,No,No,Yes,Mexican restaurant, · Closes 9PM,None Found,Cullman
The Chill Spot,"2146 Hamilton Pl N, Opelika, AL 36801, United States",thechillspotauburn.square.site,+1 334-703-6286,34,4.6,No,No,No,Mobile caterer,,None Found,Auburn
Daily Grace Food Truck LLC,"1330 McCoy St, Opelika, AL 36801, United States",,+1 334-759-9261,1,5.0,No,No,No,Mobile caterer,,None Found,Auburn
Grandma Val’s Lemonade & More LLC,"3010 Martin Luther King Dr, Auburn, AL 36832, United States",gmavalslemonade.com,+1 706-402-5010,17,4.6,No,No,Yes,Catering food and drink supplier,,None Found,Auburn
Acre,"210 E Glenn Ave, Auburn, AL 36830, United States",acreauburn.com,+1 334-246-3763,1552,4.6,No,No,Yes,Southern restaurant (US), · Closes 3PM · Reopens 5PM,"Carefully sourced, Southern-inspired fare, charcuterie & cocktails served in chic, rustic environs.",Auburn
Cook Out,"1601 Opelika Rd, Auburn, AL 36830, United States",cookout.com,+1 866-547-0011,1286,4.0,No,No,Yes,Restaurant, · Closes 4AM,"Branch of a fast-food chain known for its drive-thru BBQ, burgers & more than 40 milkshake flavors.",Auburn
Hibachi On Wheels,"427 Village Dr, Auburn, AL 36830, United States",hibachionwheelscatering.com,+1 334-758-3544,1,5.0,No,No,No,Catering food and drink supplier,,None Found,Auburn
Insomnia Steak & Grill,"186 N Donahue Dr, Auburn, AL 36832, United States",insomniasteakgrill.com,+1 334-821-4146,670,4.6,No,Yes,Yes,Mediterranean restaurant,Open · Closes 1AM,"Basic counter serve for burgers, kebabs & other American & Middle Eastern eats, plus hookah.",Auburn
Johnny Brusco's New York Style Pizza,"2408 E University Dr, Auburn, AL 36830, United States",johnnybruscos.com,+1 334-826-0055,780,4.5,No,Yes,Yes,Pizza restaurant, · Closes 9PM,"Relaxed pizzeria chain serving NY-style hand-tossed pies, plus pasta & sandwiches.",Auburn
POKEMEN,"2701 Frederick Rd, Opelika, AL 36801, United States",pokemenal.com,+1 334-737-6353,285,4.8,No,No,Yes,Restaurant, · Closes 8PM,None Found,Auburn
Sips Beer Garden and Food Court,"115 Hanchey St, Troy, AL 36081, United States",,+1 334-268-8382,83,4.6,No,No,No,Beer garden, · Closes 10PM,None Found,Troy
Wiley Sanders Truck Lines Inc,"100 Sanders Rd, Troy, AL 36079, United States",wileysanders.com,+1 334-566-5184,253,3.9,No,No,No,Trucking company, · Closes 5PM,None Found,Troy
8th Avenue Nut Butter,"101 US-231, Troy, AL 36081, United States",locations.kfc.com,+1 334-566-5024,751,3.5,No,No,Yes,Chicken restaurant, · Closes 10PM,"Restaurant chain known for its buckets of fried chicken, plus combo meals & sides.",Troy
KFC,"101 US-231, Troy, AL 36081, United States",locations.kfc.com,+1 334-566-5024,751,3.5,No,No,Yes,Chicken restaurant, · Closes 10PM,"Restaurant chain known for its buckets of fried chicken, plus combo meals & sides.",Troy
Chill Out Ice Cream Treats,,chillouticecreamtruck.com,+1 205-515-8624,26,5.0,No,No,No,Mobile caterer,,None Found,Autaugaville
Brown sugars soul food,"2371 AL-14, Autaugaville, AL 36003, United States",,+1 334-380-3235,28,4.3,No,No,No,,,None Found,Autaugaville
Granny Alabama's Cafe,"1909 W Dallas Ave Suite A, Selma, AL 36701, United States",,+1 334-526-1031,13.0,4.5,No,No,No,Restaurant, · Closes 4PM,None Found,Selma
Granny Alabama's Cafe,"1909 W Dallas Ave Suite A, Selma, AL 36701, United States",,,1.0,5.0,No,No,No,Truck stop, · Closes 11PM,None Found,Selma
Gin's Truck Stop 24/7,"635 Co Rd 998, Selma, AL 36701, United States",,,1.0,5.0,No,No,No,Truck stop, · Closes 11PM,None Found,Selma
Kona Ice of Selma/Prattville,,kona-ice.com,+1 334-293-1916,3.0,3.7,No,No,No,Mobile caterer, · Closes 5PM,None Found,Selma
Tasty B's,"1391 E Highland Ave, Selma, AL 36703, United States",usacommetix.top,+1 334-407-9459,8.0,4.4,No,No,Yes,Restaurant, · Closes 7PM,None Found,Selma
Texaco,"2530 US-80, Selma, AL 36701, United States",,+1 334-431-5183,434.0,4.1,No,No,Yes,Pizza Takeout, · Closes 12AM,None Found,Selma
Huddle House,"1376 E Highland Ave, Selma, AL 36701, United States",huddlehouse.com,+1 659-899-4330,419.0,3.9,No,No,Yes,American restaurant, · Closes 12AM,None Found,Selma
The Social Bar and Wings,"2584 US-80, Selma, AL 36701, United States",,+1 334-267-5228,,,No,No,Yes,Restaurant, · Closes 9PM,None Found,Selma
Heybebe Food Truck,,heybebefoodtruck.com,+1 504-905-4458,21.0,4.6,No,No,No,Food producer, · 2PM · Reopens 5PM,None Found,Selma
Hardee's,"1201 Highland Ave, Selma, AL 36703, United States",locations.hardees.com,+1 334-872-8351,582.0,3.7,No,No,Yes,Fast food restaurant, · Closes 10PM,"Fast-food chain serving fried chicken, big burgers & made-from-scratch breakfast biscuits.",Selma
Burger King,"312 W Highland Ave, Selma, AL 36701, United States",burgerking.com,+1 334-874-8300,525.0,3.6,No,No,Yes,Fast food restaurant,Open · Closes 2AM,"Well-known fast-food chain serving grilled burgers, fries & shakes.",Selma
Big Balls Trucking,"Babbie, AL 36467, United States",,,9,5.0,No,No,No,Restaurant,,None Found,Babbie
King's Welding and Small Trailer repair,"19234 Tv Tower Rd, Andalusia, AL 36420, United States",,+1 334-343-6846,13,4.7,No,No,No,Welder, · Closes 4PM,None Found,Babbie
King's Welding and Small Trailer repair,"1158 Wall Triana Hwy SW A, Madison, AL 35756, United States",thafoodtruck.com,+1 256-721-2221,10,3.4,No,No,No,Mobile caterer,,None Found,Babbie
Soul Southern Eatery,"136 East St N, Talladega, AL 35160, United States",,+1 256-480-3132,39,4.9,No,No,Yes,Restaurant, · 2PM · Opens 6AM Mon,None Found,Talladega
Buffalo Bay,"218 Haynes St, Talladega, AL 35160, United States",chowbusmkt.wixsite.com,+1 256-268-7262,213,4.8,No,No,Yes,Restaurant, · Closes 10PM,None Found,Talladega
Campbells BBQ,"505 Battle St E, Talladega, AL 35160, United States",,+1 256-761-2342,293,4.4,No,No,Yes,Barbecue restaurant, · Closes 8PM,None Found,Talladega
El Pastorcito Taco Truck,"5373 US-280, Harpersville, AL 35078, United States",elpastorcitonow.com,+1 205-422-9439,56,4.8,No,No,No,Taco restaurant, · Closes 8PM,None Found,Talladega
Millers BAR B Q,"408 Fort Lashley Ave, Talladega, AL 35160, United States",millers-bar-b-q.placeid.site,+1 256-761-0187,272,4.4,No,No,Yes,Barbecue restaurant, · Closes 7PM,None Found,Talladega
Talladega Bottling Works,"124 Court Sq S, Talladega, AL 35160, United States",talladegabottlingworks.com,+1 256-282-1225,47,4.9,No,No,No,Event venue,,None Found,Talladega
Sonic Drive-In,"717 Battle St E, Talladega, AL 35160, United States",sonicdrivein.com,+1 256-761-1950,692,3.7,No,No,Yes,Fast food restaurant, · Closes 11PM,"Fast-food burger & fries joint with an old-school feel, including retro drive-in service.",Talladega
Top Trails OHV Park,"794 Welch Ave, Talladega, AL 35160, United States",toptrails.net,+1 256-649-0813,551,4.7,No,No,No,Off roading area,,None Found,Talladega
Arby's,"203 Battle St E, Talladega, AL 35160, United States",arbys.com,+1 256-362-3986,555,4.0,No,No,Yes,Fast food restaurant, · Closes 11PM,"Fast-food chain, known for its roast beef, serving up hot & cold sandwiches, fries & shakes.",Talladega
Red Door Kitchen,"500 South St W, Talladega, AL 35160, United States",busiussa.org,+1 256-362-3663,6,4.5,No,No,No,Mission,,None Found,Talladega
Kim’s Parkside Catfish Restaurant,"13610 AL-69, Baileyton, AL 35019, United States",kimsparksidecatfish.shop,+1 256-796-4288,774.0,4.4,No,No,Yes,Restaurant, · Closes 8PM,None Found,Baileyton
Kim’s Parkside Catfish Restaurant,"1500 Summit Rd, Baileyton, AL 35019, United States",,+1 256-338-2914,321.0,4.7,No,No,No,Car racing venue,,None Found,Baileyton
Da Big Italian Food Truck and Catering,,usabiznova.top,+1 256-502-3886,11.0,4.1,No,No,No,Food and beverage consultant,,None Found,Baileyton
Walker Brothers Ltd,"79 Schoolhouse Rd, Baileyton, AL 35019, United States",walkerbrothersltd.net,+1 256-787-7329,125.0,4.7,No,Yes,Yes,Lumber store, · Closes 5PM,None Found,Baileyton
Walker Brothers Ltd,"79 Schoolhouse Rd, Baileyton, AL 35019, United States",walkerbrothersltd.net,+1 256-721-2221,10.0,3.4,No,No,No,Mobile caterer,,None Found,Baileyton
Tha Food Truck,"1158 Wall Triana Hwy SW A, Madison, AL 35756, United States",thafoodtruck.com,+1 256-347-8992,,,No,No,No,Food producer,,None Found,Baileyton
Bryant's Mobile Seafood,,,+1 256-347-8992,,,No,No,No,Food producer,,None Found,Baileyton
Tin-tin's Rock and Roll foodtruck,"750 Morphy Ave, Fairhope, AL 36532, United States",,+1 251-228-6305,143.0,4.9,No,No,No,Mobile caterer, · Opens 11AM Tue,None Found,Baileyton
Peppered Pig,"1305 Four Mile Post Rd SE Suite C, Huntsville, AL 35802, United States",pepperedpig.net,+1 256-270-8549,857.0,4.7,No,No,Yes,Restaurant,Open · Closes 8PM,None Found,Baileyton
Bakerhill,,,,,,No,No,No,,,None Found,Bakerhill
